,u,alpha,TI,Seed Number
0,2.1580103540370232,1.4850758886940476,0.3481790397443963,1.0
1,2.6441383632749322,0.5912390233552901,0.26478184490167467,2.0
2,1.920539189866819,1.8358673289027145,0.3817727061060436,3.0
3,2.5869196616116925,0.764843844353865,0.2806420417934193,4.0
4,2.414335742296265,1.1157011192233628,0.3132914533464857,5.0
5,2.8009124681779056,0.05290980647385668,0.2181215620491594,6.0
6,2.748359797344805,0.4038029049155512,0.2480442181445741,7.0
7,1.717218728450723,2.156301002054224,0.4128341031499346,8.0
8,1.4858569458778417,2.4774624208860763,0.44403495682213795,9.0
9,2.6538240753251707,0.7386091421771525,0.27830998274954477,10.0
10,2.79069059877117,0.3904601321888749,0.24689836715322838,11.0
11,2.278773387111287,1.4213189435386002,0.34233603206650126,12.0
12,2.50760115527775,1.0732165847378274,0.30944436907884487,13.0
13,1.7986987093873623,2.096457492952955,0.40723230200063243,14.0
14,2.067827428045855,1.748426965475822,0.37369550020504855,15.0
15,2.900228180593939,0.04046435139596832,0.217153597803514,16.0
16,2.2553806560733562,1.5108297413793104,0.35098222010635594,17.0
17,2.9060266511768873,-0.1871322982989413,0.20002126331510905,18.0
18,2.6923318455378644,0.8309032157874614,0.2869419409153491,19.0
19,2.034959252408941,1.838139137981941,0.38246209203446063,20.0
20,2.939316250573449,0.14781050653098426,0.22601687954410443,21.0
21,2.5371364668742538,1.1514716439127306,0.3169660781307866,22.0
22,1.8082747823365213,2.1549995520896195,0.4131858241354596,23.0
23,2.8870181078323864,0.48261615953947334,0.25521363975981265,24.0
24,2.858254523343578,0.5860855065947241,0.2645580316223505,25.0
25,1.7483410673032649,2.2537509978618915,0.42287004172711756,26.0
26,2.513210907993953,1.252839604117034,0.32664423913622764,27.0
27,2.9898874075351127,0.25202141190820704,0.2349285900248572,28.0
28,2.0457253204947565,1.9023109282544381,0.38890247380088894,29.0
29,2.752343799956663,0.9050290002488206,0.29398559532171137,30.0
30,3.047797509189974,-0.08193881815843629,0.20761655459344883,31.0
31,2.3319784674902504,1.561522664948359,0.356180382823091,32.0
32,2.1678455674481714,1.78259929906542,0.3774577444830987,33.0
33,2.841216039739265,0.8060884904930857,0.2848486761550469,34.0
34,3.0762123109642117,-0.1705031875725479,0.2011832707942706,35.0
35,2.44890071790648,1.4462894523340326,0.3452421516617069,36.0
36,3.014676579562281,0.4730376838235294,0.25447352799829676,37.0
37,1.9600067805614134,2.080031320736922,0.40637308927340327,38.0
38,2.707979593736809,1.110097712213467,0.313363909550834,39.0
39,3.1257571666049535,0.15004980161918016,0.22629904398855946,40.0
40,3.125460391453818,0.2101996725512528,0.2314117562535256,41.0
41,2.6916867940585303,1.1731530910711752,0.31937610656736715,42.0
42,1.9523185450568947,2.126356576294567,0.41102367000719475,43.0
43,3.061111693056096,0.5278886140250352,0.2594786529685179,44.0
44,2.494802513853029,1.4779952017716536,0.34847141039539214,45.0
45,3.19316055984273,-0.11102618731602182,0.20547256976457542,46.0
46,2.9433293086167076,0.8360020655743434,0.287799696546409,47.0
47,2.236929604557661,1.7833384941400814,0.36910338712213925,48.0
48,2.972431659601775,0.700520833333333,0.26520051089861113,49.0
49,2.3632933274343793,1.6436121129448211,0.3555588336568236,50.0
50,2.6114875219352145,1.3277777514149642,0.32500228023763755,51.0
51,3.1194508131164045,-0.23791783327312155,0.18306486897837485,52.0
52,2.141512092031246,1.9393337506860593,0.3844599671013518,53.0
53,3.1385667799042283,0.3796507085755815,0.23552340194021978,54.0
54,3.1986337491030423,0.06983933868657943,0.20793643538850556,55.0
55,2.872355974052905,1.001024947095118,0.2937407832281759,56.0
56,2.7694781879038035,1.1723864560737527,0.31016122836139975,57.0
57,3.2062923182130105,0.2532497539453229,0.2241125166048869,58.0
58,3.124701350065588,0.5596631780660377,0.2521547611041296,59.0
59,2.063275884704773,2.0830546591558043,0.39873020323374037,60.0
60,3.25186324023276,-0.056884797025723466,0.1972401616026939,61.0
61,2.5968908422018537,1.460886879466671,0.3380984372112693,62.0
62,2.3581995436511383,1.7616939639384654,0.36737683222509365,63.0
63,3.0287518072564157,0.8539330957420317,0.27986572243575064,64.0
64,2.9599938937074723,0.9847245762711866,0.2923249635757945,65.0
65,3.3037906723714814,0.08288921701709795,0.20910989873606842,66.0
66,3.2602102660426007,0.38410835061216403,0.23603231146894843,67.0
67,2.290251822450814,1.8802028450298633,0.3790849042084222,68.0
68,3.287847489132812,-0.2204307100785341,0.18435700637094446,69.0
69,2.8057104229082808,1.270295344516771,0.3198254674123563,70.0
70,2.5795561492446453,1.5661539603396666,0.34851699890351484,71.0
71,3.193882564139625,0.6751607462934724,0.26308803466290076,72.0
72,3.1365665897293638,0.80403759057971,0.2752568301216152,73.0
73,2.4912500174369954,1.6960527973790323,0.36124268060258047,74.0
74,2.747465617486772,1.3972257181227485,0.3321993179687527,75.0
75,3.3920277508486705,-0.08456982634879406,0.1950006580958362,76.0
76,2.2637820706854943,1.9760199430655063,0.38871521751501226,77.0
77,3.3249242599742006,0.4994528807970783,0.2467473023994524,78.0
78,3.415427760101325,0.20586523934478357,0.21999712484511313,79.0
79,3.0202108518524566,1.0875369463254885,0.3024054219998676,80.0
80,3.44863408722668,0.009953188259109347,0.2029013119736637,81.0
81,3.1676556780897553,0.8882439666524727,0.2833739340532319,82.0
82,2.4996447609682706,1.7582205625629088,0.3675347470064266,83.0
83,3.4437229646869194,0.30119812088299863,0.22860434293390308,84.0
84,3.003734361432291,1.1687167636386382,0.310298943554335,85.0
85,3.4164822931445564,-0.2808345795248941,0.18004572354014078,86.0
86,3.373702580032997,0.5842393020470383,0.25472700813400107,87.0
87,2.804572995192856,1.4501461232238149,0.3376017562675263,88.0
88,2.6113220768604113,1.6805894183168317,0.36008823897332937,89.0
89,3.2772185759409944,0.8234799036889038,0.2773203000278699,90.0
90,3.5420541692745173,-0.034498919097735115,0.19918000060413926,91.0
91,2.8887219130915076,1.3865339152267984,0.3315019072216613,92.0
92,3.452293527269169,0.5309600728452495,0.24981299288071884,93.0
93,2.4015474621043733,1.9449293870192301,0.3861208208652682,94.0
94,3.1437412456972385,1.0917472334693132,0.3030528532293949,95.0
95,3.5704658906365774,0.24649972199872472,0.22373665148228467,96.0
96,3.5679082580008736,0.2993653100775192,0.22852346250512473,97.0
97,2.647334110925723,1.7110241519313236,0.3632764750900564,98.0
98,3.3317543544284947,0.8653110881024094,0.28141888216691463,99.0
99,3.6314559398786113,0.018659609881939432,0.20370473937448702,100.0
100,2.9321200491188866,1.4179325713087245,0.3347319287784901,101.0
101,3.517290147278758,0.5735916722074467,0.2538790056529417,102.0
102,3.587376391765206,-0.2629933200703386,0.18129221549074717,103.0
